phi1   phi2  phi  COD
65.0  45.0   5.0    101 
70.0  45.0   5.0    101 
75.0  45.0   5.0     97 
80.0  45.0   5.0     98 
85.0  45.0   5.0     94 
90.0  45.0   5.0     90 
 0.0  50.0   5.0     91 
 5.0  50.0   5.0     91 
10.0  50.0   5.0     91 
15.0  50.0   5.0     93 
20.0  50.0   5.0     95 
25.0  50.0   5.0     98 
30.0  50.0   5.0    101 
35.0  50.0   5.0    101 
40.0  50.0   5.0    106 
45.0  50.0   5.0    105 
50.0  50.0   5.0    103 
55.0  50.0   5.0    102 
60.0  50.0   5.0    102 
65.0  50.0   5.0    100 
70.0  50.0   5.0     97 
75.0  50.0   5.0     97 
80.0  50.0   5.0     93 
85.0  50.0   5.0     91 
90.0  50.0   5.0     93 
 0.0  55.0   5.0     92 
 5.0  55.0   5.0     91 
10.0  55.0   5.0     93 
15.0  55.0   5.0     96 
20.0  55.0   5.0     97 
25.0  55.0   5.0    101 
30.0  55.0   5.0    100 
35.0  55.0   5.0    105 
40.0  55.0   5.0    106 
45.0  55.0   5.0    104 
50.0  55.0   5.0    101 
55.0  55.0   5.0    102 
60.0  55.0   5.0    101 
65.0  55.0   5.0     97 
70.0  55.0   5.0     97 
75.0  55.0   5.0     93 
80.0  55.0   5.0     91 
85.0  55.0   5.0     94 
90.0  55.0   5.0     97 
 0.0  60.0   5.0     98 
 5.0  60.0   5.0     98 
10.0  60.0   5.0    102 
15.0  60.0   5.0    103 
20.0  60.0   5.0    106 
25.0  60.0   5.0    106 
30.0  60.0   5.0    106 
35.0  60.0   5.0    111 
40.0  60.0   5.0    113 
45.0  60.0   5.0    107 
50.0  60.0   5.0    107 
55.0  60.0   5.0    104 
60.0  60.0   5.0    102 
65.0  60.0   5.0     97 
70.0  60.0   5.0     95 
75.0  60.0   5.0     91 
80.0  60.0   5.0     93 
85.0  60.0   5.0     98 
90.0  60.0   5.0     93 
 0.0  65.0   5.0    103 
 5.0  65.0   5.0    101 
10.0  65.0   5.0    102 
15.0  65.0   5.0    101 
20.0  65.0   5.0    100 
25.0  65.0   5.0     95 
30.0  65.0   5.0    101 
35.0  65.0   5.0    102 
40.0  65.0   5.0    103 
45.0  65.0   5.0    102 
50.0  65.0   5.0    100 
55.0  65.0   5.0     99 
60.0  65.0   5.0     96 
65.0  65.0   5.0     93 
70.0  65.0   5.0     94 
75.0  65.0   5.0     95 
80.0  65.0   5.0     94 
85.0  65.0   5.0     97 
90.0  65.0   5.0     99 
 0.0  70.0   5.0    103 
 5.0  70.0   5.0    101 
10.0  70.0   5.0    102 
15.0  70.0   5.0    101 
20.0  70.0   5.0     95 
25.0  70.0   5.0    100 
30.0  70.0   5.0    101 
35.0  70.0   5.0    102 
40.0  70.0   5.0    103 
45.0  70.0   5.0    101 
50.0  70.0   5.0     98 
55.0  70.0   5.0     96 
60.0  70.0   5.0     94 
65.0  70.0   5.0     93 
70.0  70.0   5.0     95 
75.0  70.0   5.0     93 
80.0  70.0   5.0     96 
85.0  70.0   5.0    100 
90.0  70.0   5.0     99 
 0.0  75.0   5.0    103 
 5.0  75.0   5.0    101 
10.0  75.0   5.0    101 
15.0  75.0   5.0     96 
20.0  75.0   5.0    100 
25.0  75.0   5.0    100 
30.0  75.0   5.0    101 
35.0  75.0   5.0    102 
40.0  75.0   5.0    102 
45.0  75.0   5.0     99 
50.0  75.0   5.0     95 
55.0  75.0   5.0     94 
60.0  75.0   5.0     94 
65.0  75.0   5.0     95 
70.0  75.0   5.0     94 
75.0  75.0   5.0     96 
80.0  75.0   5.0     99 
85.0  75.0   5.0    100 
90.0  75.0   5.0    104 
 0.0  80.0   5.0    103 
 5.0  80.0   5.0    101 
10.0  80.0   5.0     97 
15.0  80.0   5.0    101 
20.0  80.0   5.0    100 
25.0  80.0   5.0    101 
30.0  80.0   5.0    101 
35.0  80.0   5.0    102 
40.0  80.0   5.0    100 
45.0  80.0   5.0     96 
50.0  80.0   5.0     93 
55.0  80.0   5.0     95 
60.0  80.0   5.0     95 
65.0  80.0   5.0     93 
70.0  80.0   5.0     96 
75.0  80.0   5.0     98 
80.0  80.0   5.0     99 
85.0  80.0   5.0    106 
90.0  80.0   5.0    104 
 0.0  85.0   5.0    103 
 5.0  85.0   5.0     96 
10.0  85.0   5.0    101 
15.0  85.0   5.0    101 
20.0  85.0   5.0    100 
25.0  85.0   5.0    101 
30.0  85.0   5.0    101 
35.0  85.0   5.0     99 
40.0  85.0   5.0     97 
45.0  85.0   5.0     94 
50.0  85.0   5.0     94 
55.0  85.0   5.0     96 
60.0  85.0   5.0     94 
65.0  85.0   5.0     95 
70.0  85.0   5.0     99 
75.0  85.0   5.0     98 
80.0  85.0   5.0    105 
85.0  85.0   5.0    105 
90.0  85.0   5.0    106 
 0.0  90.0   5.0     98 
 5.0  90.0   5.0    101 
10.0  90.0   5.0    102 
15.0  90.0   5.0    102 
20.0  90.0   5.0    101 
25.0  90.0   5.0    101 
30.0  90.0   5.0     99 
35.0  90.0   5.0     96 
40.0  90.0   5.0     95 
45.0  90.0   5.0     94 
50.0  90.0   5.0     95 
55.0  90.0   5.0     94 
60.0  90.0   5.0     96 
65.0  90.0   5.0     98 
70.0  90.0   5.0     99 
75.0  90.0   5.0    104 
80.0  90.0   5.0    104 
85.0  90.0   5.0    108 
90.0  90.0   5.0    110 
 0.0   0.0  10.0     86 
 5.0   0.0  10.0     81 
10.0   0.0  10.0     85 
15.0   0.0  10.0     85 
20.0   0.0  10.0     82 
25.0   0.0  10.0     78 
30.0   0.0  10.0     76 
35.0   0.0  10.0     75 
40.0   0.0  10.0     72 
45.0   0.0  10.0     71 
50.0   0.0  10.0     78 
55.0   0.0  10.0     78 
60.0   0.0  10.0     79 
65.0   0.0  10.0     84 
70.0   0.0  10.0     87 
75.0   0.0  10.0     85 
80.0   0.0  10.0     83 
85.0   0.0  10.0     84 
90.0   0.0  10.0     86 
 0.0   5.0  10.0     54 
 5.0   5.0  10.0     57 
10.0   5.0  10.0     60 
15.0   5.0  10.0     58 
20.0   5.0  10.0     58 
25.0   5.0  10.0     57 
30.0   5.0  10.0     60 
35.0   5.0  10.0     60 
40.0   5.0  10.0     61 
45.0   5.0  10.0     64 
50.0   5.0  10.0     62 
55.0   5.0  10.0     61 
60.0   5.0  10.0     61 
65.0   5.0  10.0     62 
70.0   5.0  10.0     59 
75.0   5.0  10.0     57 
80.0   5.0  10.0     55 
85.0   5.0  10.0     57 
90.0   5.0  10.0     54 
 0.0  10.0  10.0     58 
 5.0  10.0  10.0     59 
10.0  10.0  10.0     58 
15.0  10.0  10.0     58 
20.0  10.0  10.0     57 
25.0  10.0  10.0     58 
30.0  10.0  10.0     60 
35.0  10.0  10.0     61 
40.0  10.0  10.0     62 
45.0  10.0  10.0     60 
50.0  10.0  10.0     59 
55.0  10.0  10.0     60 
60.0  10.0  10.0     59 
65.0  10.0  10.0     57 
70.0  10.0  10.0     55 
75.0  10.0  10.0     54 
80.0  10.0  10.0     55 
85.0  10.0  10.0     53 
90.0  10.0  10.0     53 
 0.0  15.0  10.0     58 
 5.0  15.0  10.0     57 
10.0  15.0  10.0     57 
15.0  15.0  10.0     56 
20.0  15.0  10.0     57 
25.0  15.0  10.0     58 
30.0  15.0  10.0     61 
35.0  15.0  10.0     61 
40.0  15.0  10.0     59 
45.0  15.0  10.0     59 
50.0  15.0  10.0     59 
55.0  15.0  10.0     59 
60.0  15.0  10.0     57 
65.0  15.0  10.0     55 
70.0  15.0  10.0     54 
75.0  15.0  10.0     55 
80.0  15.0  10.0     52 
85.0  15.0  10.0     53 
90.0  15.0  10.0     56 
 0.0  20.0  10.0     55 
 5.0  20.0  10.0     54 
10.0  20.0  10.0     55 
15.0  20.0  10.0     54 
20.0  20.0  10.0     57 
25.0  20.0  10.0     59 
30.0  20.0  10.0     60 
35.0  20.0  10.0     58 
40.0  20.0  10.0     56 
45.0  20.0  10.0     58 
50.0  20.0  10.0     58 
55.0  20.0  10.0     58 
60.0  20.0  10.0     54 
65.0  20.0  10.0     55 
70.0  20.0  10.0     56 
75.0  20.0  10.0     53 
80.0  20.0  10.0     54 
85.0  20.0  10.0     58 
90.0  20.0  10.0     59 
 0.0  25.0  10.0     54 
 5.0  25.0  10.0     54 
10.0  25.0  10.0     55 
15.0  25.0  10.0     57 
20.0  25.0  10.0     59 
25.0  25.0  10.0     59 
30.0  25.0  10.0     58 
35.0  25.0  10.0     56 
40.0  25.0  10.0     58 
45.0  25.0  10.0     57 
50.0  25.0  10.0     57 
55.0  25.0  10.0     55 
60.0  25.0  10.0     55 
65.0  25.0  10.0     56 
70.0  25.0  10.0     53 
75.0  25.0  10.0     55 
80.0  25.0  10.0     57 
85.0  25.0  10.0     59 
90.0  25.0  10.0     59 
 0.0  30.0  10.0     54 
 5.0  30.0  10.0     54 
10.0  30.0  10.0     57 
15.0  30.0  10.0     59 
20.0  30.0  10.0     59 
25.0  30.0  10.0     57 
30.0  30.0  10.0     56 
35.0  30.0  10.0     58 
40.0  30.0  10.0     56 
45.0  30.0  10.0     57 
50.0  30.0  10.0     55 
55.0  30.0  10.0     55 
60.0  30.0  10.0     56 
65.0  30.0  10.0     54 
70.0  30.0  10.0     55 
75.0  30.0  10.0     58 
80.0  30.0  10.0     58 
85.0  30.0  10.0     59 
90.0  30.0  10.0     57 
 0.0  35.0  10.0     54 
 5.0  35.0  10.0     56 
10.0  35.0  10.0     59 
15.0  35.0  10.0     59 
20.0  35.0  10.0     58 
25.0  35.0  10.0     56 
30.0  35.0  10.0     58 
35.0  35.0  10.0     56 
40.0  35.0  10.0     57 
45.0  35.0  10.0     55 
50.0  35.0  10.0     54 
55.0  35.0  10.0     56 
60.0  35.0  10.0     54 
65.0  35.0  10.0     55 
70.0  35.0  10.0     58 
75.0  35.0  10.0     59 
80.0  35.0  10.0     59 
85.0  35.0  10.0     57 
90.0  35.0  10.0     60 
 0.0  40.0  10.0     61 
 5.0  40.0  10.0     61 
10.0  40.0  10.0     63 
15.0  40.0  10.0     60 
20.0  40.0  10.0     58 
25.0  40.0  10.0     59 
30.0  40.0  10.0     58 
35.0  40.0  10.0     59 
40.0  40.0  10.0     57 
45.0  40.0  10.0     55 
50.0  40.0  10.0     58 
55.0  40.0  10.0     56 
60.0  40.0  10.0     58 
65.0  40.0  10.0     61 
70.0  40.0  10.0     62 
75.0  40.0  10.0     63 
80.0  40.0  10.0     62 
