phi1   phi2  phi  COD
50.0  85.0   5.0    179 
55.0  85.0   5.0    174 
60.0  85.0   5.0    166 
65.0  85.0   5.0    155 
70.0  85.0   5.0    148 
75.0  85.0   5.0    140 
80.0  85.0   5.0    132 
85.0  85.0   5.0    127 
90.0  85.0   5.0    121 
 0.0  90.0   5.0    122 
 5.0  90.0   5.0    128 
10.0  90.0   5.0    126 
15.0  90.0   5.0    135 
20.0  90.0   5.0    138 
25.0  90.0   5.0    149 
30.0  90.0   5.0    158 
35.0  90.0   5.0    169 
40.0  90.0   5.0    176 
45.0  90.0   5.0    179 
50.0  90.0   5.0    176 
55.0  90.0   5.0    166 
60.0  90.0   5.0    156 
65.0  90.0   5.0    148 
70.0  90.0   5.0    140 
75.0  90.0   5.0    134 
80.0  90.0   5.0    127 
85.0  90.0   5.0    122 
90.0  90.0   5.0    123 
 0.0   0.0  10.0    115 
 5.0   0.0  10.0    114 
10.0   0.0  10.0    112 
15.0   0.0  10.0    110 
20.0   0.0  10.0    107 
25.0   0.0  10.0    104 
30.0   0.0  10.0    108 
35.0   0.0  10.0    110 
40.0   0.0  10.0    113 
45.0   0.0  10.0    112 
50.0   0.0  10.0    109 
55.0   0.0  10.0    109 
60.0   0.0  10.0    103 
65.0   0.0  10.0    102 
70.0   0.0  10.0     97 
75.0   0.0  10.0     93 
80.0   0.0  10.0     91 
85.0   0.0  10.0     91 
90.0   0.0  10.0     91 
 0.0   5.0  10.0     96 
 5.0   5.0  10.0     97 
10.0   5.0  10.0     96 
15.0   5.0  10.0     96 
20.0   5.0  10.0     98 
25.0   5.0  10.0    102 
30.0   5.0  10.0    107 
35.0   5.0  10.0    108 
40.0   5.0  10.0    105 
45.0   5.0  10.0    104 
50.0   5.0  10.0    105 
55.0   5.0  10.0     97 
60.0   5.0  10.0     94 
65.0   5.0  10.0     88 
70.0   5.0  10.0     82 
75.0   5.0  10.0     80 
80.0   5.0  10.0     79 
85.0   5.0  10.0     78 
90.0   5.0  10.0     80 
 0.0  10.0  10.0     96 
 5.0  10.0  10.0     95 
10.0  10.0  10.0     95 
15.0  10.0  10.0     96 
20.0  10.0  10.0    101 
25.0  10.0  10.0    107 
30.0  10.0  10.0    109 
35.0  10.0  10.0    106 
40.0  10.0  10.0    106 
45.0  10.0  10.0    107 
50.0  10.0  10.0     98 
55.0  10.0  10.0     95 
60.0  10.0  10.0     87 
65.0  10.0  10.0     84 
70.0  10.0  10.0     82 
75.0  10.0  10.0     80 
80.0  10.0  10.0     78 
85.0  10.0  10.0     78 
90.0  10.0  10.0     77 
 0.0  15.0  10.0     97 
 5.0  15.0  10.0     96 
10.0  15.0  10.0    100 
15.0  15.0  10.0    104 
20.0  15.0  10.0    111 
25.0  15.0  10.0    115 
30.0  15.0  10.0    112 
35.0  15.0  10.0    111 
40.0  15.0  10.0    109 
45.0  15.0  10.0    102 
50.0  15.0  10.0     97 
55.0  15.0  10.0     89 
60.0  15.0  10.0     85 
65.0  15.0  10.0     82 
70.0  15.0  10.0     80 
75.0  15.0  10.0     78 
80.0  15.0  10.0     79 
85.0  15.0  10.0     76 
90.0  15.0  10.0     79 
 0.0  20.0  10.0    105 
 5.0  20.0  10.0    108 
10.0  20.0  10.0    116 
15.0  20.0  10.0    120 
20.0  20.0  10.0    128 
25.0  20.0  10.0    123 
30.0  20.0  10.0    125 
35.0  20.0  10.0    115 
40.0  20.0  10.0    110 
45.0  20.0  10.0    101 
50.0  20.0  10.0     93 
55.0  20.0  10.0     88 
60.0  20.0  10.0     82 
65.0  20.0  10.0     78 
70.0  20.0  10.0     77 
75.0  20.0  10.0     79 
80.0  20.0  10.0     77 
85.0  20.0  10.0     78 
90.0  20.0  10.0     81 
 0.0  25.0  10.0    110 
 5.0  25.0  10.0    117 
10.0  25.0  10.0    122 
15.0  25.0  10.0    131 
20.0  25.0  10.0    126 
25.0  25.0  10.0    129 
30.0  25.0  10.0    119 
35.0  25.0  10.0    113 
40.0  25.0  10.0    104 
45.0  25.0  10.0     95 
50.0  25.0  10.0     90 
55.0  25.0  10.0     83 
60.0  25.0  10.0     79 
65.0  25.0  10.0     78 
70.0  25.0  10.0     80 
75.0  25.0  10.0     77 
80.0  25.0  10.0     79 
85.0  25.0  10.0     80 
90.0  25.0  10.0     82 
 0.0  30.0  10.0    119 
 5.0  30.0  10.0    124 
10.0  30.0  10.0    133 
15.0  30.0  10.0    128 
20.0  30.0  10.0    132 
25.0  30.0  10.0    122 
30.0  30.0  10.0    117 
35.0  30.0  10.0    106 
40.0  30.0  10.0     97 
45.0  30.0  10.0     92 
50.0  30.0  10.0     86 
55.0  30.0  10.0     80 
60.0  30.0  10.0     78 
65.0  30.0  10.0     81 
70.0  30.0  10.0     78 
75.0  30.0  10.0     79 
80.0  30.0  10.0     81 
85.0  30.0  10.0     81 
90.0  30.0  10.0     87 
 0.0  35.0  10.0    124 
 5.0  35.0  10.0    134 
10.0  35.0  10.0    131 
15.0  35.0  10.0    134 
20.0  35.0  10.0    127 
25.0  35.0  10.0    121 
30.0  35.0  10.0    109 
35.0  35.0  10.0    101 
40.0  35.0  10.0     93 
45.0  35.0  10.0     88 
50.0  35.0  10.0     82 
55.0  35.0  10.0     81 
60.0  35.0  10.0     80 
65.0  35.0  10.0     79 
70.0  35.0  10.0     79 
75.0  35.0  10.0     80 
80.0  35.0  10.0     83 
85.0  35.0  10.0     86 
90.0  35.0  10.0     87 
 0.0  40.0  10.0    137 
 5.0  40.0  10.0    130 
10.0  40.0  10.0    128 
15.0  40.0  10.0    120 
20.0  40.0  10.0    112 
25.0  40.0  10.0     99 
30.0  40.0  10.0     92 
35.0  40.0  10.0     82 
40.0  40.0  10.0     78 
45.0  40.0  10.0     73 
50.0  40.0  10.0     73 
55.0  40.0  10.0     71 
60.0  40.0  10.0     72 
65.0  40.0  10.0     73 
70.0  40.0  10.0     75 
75.0  40.0  10.0     78 
80.0  40.0  10.0     84 
85.0  40.0  10.0     85 
90.0  40.0  10.0     88 
 0.0  45.0  10.0    189 
 5.0  45.0  10.0    187 
10.0  45.0  10.0    179 
15.0  45.0  10.0    160 
20.0  45.0  10.0    145 
25.0  45.0  10.0    131 
30.0  45.0  10.0    115 
35.0  45.0  10.0    110 
40.0  45.0  10.0    100 
45.0  45.0  10.0     99 
50.0  45.0  10.0     98 
55.0  45.0  10.0     97 
60.0  45.0  10.0     98 
65.0  45.0  10.0    101 
70.0  45.0  10.0    105 
75.0  45.0  10.0    112 
80.0  45.0  10.0    117 
85.0  45.0  10.0    116 
90.0  45.0  10.0    121 
 0.0  50.0  10.0    137 
 5.0  50.0  10.0    126 
10.0  50.0  10.0    118 
15.0  50.0  10.0    108 
20.0  50.0  10.0    101 
25.0  50.0  10.0     93 
30.0  50.0  10.0     93 
35.0  50.0  10.0     86 
40.0  50.0  10.0     86 
45.0  50.0  10.0     85 
50.0  50.0  10.0     83 
